Erp Item Code,Item Id,Item Description,Location Id,Qty On Hand,Qty Reserved,Qty Available,Unit Of Measure,Par Level,Reorder Point,Reorder Required,Supplier Id,Estimated Stock Value Gbp
SUT-576020,INV-SUTU-TIGERWIRE_2, TigerWire #2 ,LOC-STOCK-03,84, 4 , 80 , box , 10 ,3,No,SUP-UNISURGE,"GBP 2,782.92"
SUT-338007,INV-SUTU-VICRYL_0,Vicryl 0,LOC-STOCK-04,61, 1 ,60,box, 9 , 4 ,N,SUP-UNISURGE,"GBP 2,607.75"
SUT-338007,INV-SUTU-VICRYL_0,Vicryl 0,LOC-STOCK-01,39,5, 34 ,box, 9 ,3,N, SUP-UNISURGE ,GBP 675.48
 SUT-255326 ,INV-SUTU-VICRYL_1,Vicryl 1,LOC-STOCK-03, 74 ,1,73, box ,5,1,No,SUP-ZIMMER,"GBP 3,711.84"
 SUT-255326 ,INV-SUTU-VICRYL_1,Vicryl 1,LOC-STOCK-05,76, 3 ,73,box,64,17,N,SUP-ZIMMER,"GBP 3,190.48"
SUT-478642,INV-SUTU-VICRYL_2_0, Vicryl 2-0 ,LOC-STOCK-02, 7 , 1 , 6 ,box, 65 ,24,Y,SUP-UNISURGE,GBP 37.03
SUT-478642,INV-SUTU-VICRYL_2_0, Vicryl 2-0 ,LOC-STOCK-03, 69 , 5 ,64,box, 14 ,5,No,SUP-UNISURGE,"GBP 3,231.96"
SUT-593837,INV-SUTU-VICRYL_3_0,Vicryl 3-0,LOC-STOCK-01,56,3,53, box ,69,28,No,SUP-SN,GBP 796.32
SUT-593837,INV-SUTU-VICRYL_3_0, Vicryl 3-0 ,LOC-STOCK-04,37,3, 34 ,box,56,23,No,SUP-SN,GBP 655.64
 DRE-897387 ,INV-DRES-ADAPTIC,Adaptic,LOC-STOCK-02, 84 ,4,80, each ,53, 24 ,N,SUP-SN,"GBP 2,444.40"
DRE-897387,INV-DRES-ADAPTIC,Adaptic,LOC-STOCK-05,11, 0 ,11, each ,91,29,Yes,SUP-SN,GBP 129.36
DRE-897387,INV-DRES-ADAPTIC,Adaptic,LOC-STOCK-01,80, 1 , 79 , each ,45, 17 ,N,SUP-SN,GBP 148.80
 DRE-388006 ,INV-DRES-AQUACEL_AG,Aquacel Ag,LOC-STOCK-01,66,6, 60 ,each, 32 , 10 ,N,SUP-NHS-SUPPLY,"GBP 1,435.50"
DRE-388006,INV-DRES-AQUACEL_AG,Aquacel Ag,LOC-STOCK-05,46, 5 ,41,each,45,15,N,SUP-NHS-SUPPLY,"GBP 1,478.90"
DRE-388006,INV-DRES-AQUACEL_AG,Aquacel Ag,LOC-STOCK-03,54, 1 , 53 ,each,28, 12 ,N,SUP-NHS-SUPPLY,GBP 629.10
DRE-896013,INV-DRES-AQUACEL_SURGICAL,Aquacel Surgical,LOC-STOCK-02, 153 , 6 ,147,box,8,3,N,SUP-MEDTRONIC,"GBP 3,598.56"
DRE-896013,INV-DRES-AQUACEL_SURGICAL,Aquacel Surgical,LOC-STOCK-05,82,0,82, box ,82,23,N, SUP-MEDTRONIC ,"GBP 1,886.82"
DRE-896013,INV-DRES-AQUACEL_SURGICAL,Aquacel Surgical,LOC-STOCK-04,52,5, 47 ,box,46,12,No,SUP-MEDTRONIC,"GBP 1,143.48"
 DRE-531687 ,INV-DRES-CREPE_BANDAGE,Crepe Bandage,LOC-STOCK-02,76,2,74,each, 22 , 8 ,No, SUP-ZIMMER ,"GBP 1,107.32"
DRE-531687,INV-DRES-CREPE_BANDAGE,Crepe Bandage,LOC-STOCK-01,14,1, 13 , each , 43 , 18 ,Yes,SUP-ZIMMER,GBP 122.22
DRE-508811,INV-DRES-JELONET,Jelonet,LOC-STOCK-05,10,3,7, pack , 85 , 25 ,Y,SUP-UNISURGE,GBP 281.50
DRE-910266,INV-DRES-MELOLIN,Melolin,LOC-STOCK-01, 83 , 1 ,82,box,45, 15 ,N,SUP-ZIMMER,"GBP 2,328.98"
DRE-910266,INV-DRES-MELOLIN, Melolin ,LOC-STOCK-05,52,3, 49 ,box, 34 ,9,N,SUP-ZIMMER,"GBP 1,809.08"
DRE-910266,INV-DRES-MELOLIN,Melolin,LOC-STOCK-03, 15 ,1, 14 , box ,38, 14 ,Y,SUP-ZIMMER,GBP 606.00
DRE-864355,INV-DRES-MEPITEL,Mepitel,LOC-STOCK-05,49, 6 ,43,pack, 21 ,9,N,SUP-STRYKER,"GBP 1,204.91"
DRE-133664,INV-DRES-MEPORE,Mepore,LOC-STOCK-04,76, 2 ,74,pack,51, 18 ,N,SUP-ARTHREX,"GBP 2,137.88"
DRE-794110,INV-DRES-OPSITE_FLEXIFIX,Opsite Flexifix,LOC-STOCK-03, 76 ,2,74,pack, 22 , 8 ,No,SUP-UNISURGE,"GBP 1,383.20"
DRE-794110,INV-DRES-OPSITE_FLEXIFIX,Opsite Flexifix,LOC-STOCK-02,83,4,79,pack, 22 , 9 ,N,SUP-UNISURGE,GBP 843.28
DRE-794110,INV-DRES-OPSITE_FLEXIFIX,Opsite Flexifix,LOC-STOCK-04,63,0, 63 ,pack,83,28,N,SUP-UNISURGE,"GBP 1,947.96"
 DRE-794110 ,INV-DRES-OPSITE_FLEXIFIX,Opsite Flexifix,LOC-STOCK-01,44,1,43,pack,28,8,No,SUP-UNISURGE,GBP 448.80
DRE-764106,INV-DRES-OPSITE_POST_OP,Opsite Post-Op,LOC-STOCK-05, 79 ,0, 79 ,box,32, 14 ,No, SUP-ZIMMER ,GBP 239.37
DRE-764106,INV-DRES-OPSITE_POST_OP,Opsite Post-Op,LOC-STOCK-02,80,2,78,box, 72 , 20 ,N,SUP-ZIMMER,"GBP 2,748.00"
 DRE-764106 ,INV-DRES-OPSITE_POST_OP,Opsite Post-Op,LOC-STOCK-01,33, 2 , 31 ,box, 7 ,2,No,SUP-ZIMMER,"GBP 1,109.13"
DRE-920218,INV-DRES-PRIMAPORE, Primapore ,LOC-STOCK-05, 10 ,0,10,pack, 33 ,10,Yes,SUP-SN,GBP 330.90
DRE-718184,INV-DRES-STERI_STRIPS_12MM,Steri-Strips 12mm,LOC-STOCK-02, 55 ,10, 45 ,each, 41 , 16 ,N,SUP-NHS-SUPPLY,"GBP 1,974.50"
DRE-718184,INV-DRES-STERI_STRIPS_12MM,Steri-Strips 12mm,LOC-STOCK-03,12,0, 12 ,each, 57 , 23 ,Yes,SUP-NHS-SUPPLY,GBP 173.16
DRE-718184,INV-DRES-STERI_STRIPS_12MM,Steri-Strips 12mm,LOC-STOCK-01,70, 3 , 67 , each , 76 , 20 ,N, SUP-NHS-SUPPLY ,GBP 926.80
DRE-546584,INV-DRES-STERI_STRIPS_6MM, Steri-Strips 6mm ,LOC-STOCK-01,79,3,76,each, 48 ,18,No,SUP-MEDTRONIC,GBP 958.27
DRE-546584,INV-DRES-STERI_STRIPS_6MM,Steri-Strips 6mm,LOC-STOCK-02, 22 , 4 , 18 , each ,48,19,Y, SUP-MEDTRONIC ,GBP 209.44
 DRE-550009 ,INV-DRES-TEGADERM_FOAM,Tegaderm Foam,LOC-STOCK-02,73,0, 73 ,box,39,11,No, SUP-ZIMMER ,GBP 896.44
DRE-550009,INV-DRES-TEGADERM_FOAM,Tegaderm Foam,LOC-STOCK-01, 17 , 3 ,14,box,24, 10 ,N, SUP-ZIMMER ,GBP 317.05
DRE-731072,INV-DRES-TUBIGRIP_SIZE_B,Tubigrip Size B,LOC-STOCK-03,9,2,7, each , 30 ,9,Y,SUP-STRYKER,GBP 238.14
DRE-731072,INV-DRES-TUBIGRIP_SIZE_B,Tubigrip Size B,LOC-STOCK-02,120,4,116,each, 78 , 20 ,N,SUP-STRYKER,GBP 938.40
DRE-581494,INV-DRES-TUBIGRIP_SIZE_C, Tubigrip Size C ,LOC-STOCK-05,32,1,31,each,45, 20 ,No,SUP-STRYKER,GBP 756.16
DRE-581494,INV-DRES-TUBIGRIP_SIZE_C,Tubigrip Size C,LOC-STOCK-01, 24 , 4 ,20,each,50, 16 ,No,SUP-STRYKER,GBP 916.56
DRE-581494,INV-DRES-TUBIGRIP_SIZE_C,Tubigrip Size C,LOC-STOCK-02,42,5,37, each , 84 ,32,N,SUP-STRYKER,"GBP 1,114.26"
DRE-581494,INV-DRES-TUBIGRIP_SIZE_C, Tubigrip Size C ,LOC-STOCK-04,14,2, 12 , each , 32 ,9,N,SUP-STRYKER,GBP 396.90
 DRE-519514 ,INV-DRES-WOOL_AND_CREPE,Wool and Crepe,LOC-STOCK-02, 55 ,4,51,pack, 51 , 14 ,No,SUP-MEDTRONIC,"GBP 2,257.75"
